category,subcategory,en,zh-tw,alt-en,alt-zh,note
冒險,德利安古墓,Murkik,莫奇克,,,
冒險,德利安古墓,Vurkor,弗科爾,,,
冒險,德利安古墓,Gruul,格魯,,,
冒險,德利安古墓,Forg,佛格,,,
冒險,德利安古墓,Thurston,瑟斯頓,,,
冒險,德利安古墓,Robin,羅賓,,,
冒險,德利安古墓,Sarah,莎拉,,,
冒險,德利安古墓,Forbin,佛賓,,,
冒險,德利安古墓,Tubert,圖貝特,,,
冒險,德利安古墓,Aldiva,奧狄華,,,
冒險,德利安古墓,Saera,薩伊菈,,,
冒險,德利安古墓,Skewra,斯凱菈,,,
冒險,德利安古墓,Kora,柯菈,,,
冒險,德利安古墓,Berrick,貝瑞克,,,
冒險,德利安古墓,Laesi,蕾希,,,
冒險,德利安古墓,Yerris,葉里斯,,,
冒險,德利安古墓,Oleq,歐列,,,
冒險,德利安古墓,Jagged Edge,鋸刃族,,,
冒險,德利安古墓,Gilded Hand,鍍金之手,,,
冒險,德利安古墓,Forsaken Wraiths,遺世怨靈,,,
冒險,德利安古墓,Coursers,奔行者,,,
冒險,德利安古墓,Caelian Empire,凱利安帝國,,,
冒險,德利安古墓,Quintessence,極粹界,,,
冒險,德利安古墓,Cup of Iulius,尤利烏斯聖杯,,,
冒險,德利安古墓,Healing Potion,治療藥水,,,
冒險,德利安古墓,Bloodbound Band,血契戒指,,,
冒險,德利安古墓,Foesense Lenses,通敵眼鏡,,,
冒險,德利安古墓,Amulet of the Delian Order,德利安教團護符,,,
冒險,德利安古墓,Delian Knight Commander’s Ring,德利安騎將戒指,,,
冒險,德利安古墓,Quantum Satchel,量子背包,,,
冒險,德利安古墓,Unbinder Boots,無縛之靴,,,
冒險,德利安古墓,Snapdragon,金魚草,,,
冒險,德利安古墓,Buzz Balm,嗡嗡藥膏,,,
冒險,德利安古墓,Blade of the Luxurious Fop,窮奢極侈之刃,,,
